id_leku,nazwa,dawkowanie,opis
1,Flufen,2 tabletki dziennie po posiłku,Zalecany przy alergiach sezonowych.
2,Medizol,2 tabletki dziennie po posiłku,Stosowany w leczeniu cukrzycy typu 2.
3,Cortdine,1 tabletka rano i wieczorem,Lek stosowany w terapii nadciśnienia.
4,Biomox,1 zastrzyk co 12 godzin,Pomocny przy leczeniu astmy.
5,Medizine,5 ml syropu 3 razy dziennie,Lek przeciwbólowy i przeciwzapalny.
6,Antifen,1 tabletka raz dziennie,Preparat stosowany przy przeziębieniu.
7,Cardiofen,2 tabletki dziennie po posiłku,Lek przeciwbólowy i przeciwzapalny.
8,Antizol,5 ml syropu 3 razy dziennie,Preparat stosowany przy przeziębieniu.
9,Medicillin,2 tabletki dziennie po posiłku,Stosowany w leczeniu infekcji bakteryjnych.
10,Vitafen,2 tabletki dziennie po posiłku,Preparat stosowany przy przeziębieniu.
11,Therazol,1 kapsułka co 8 godzin,Obniża poziom cholesterolu.
12,Cortcillin,1 kapsułka co 8 godzin,Stosowany w leczeniu infekcji bakteryjnych.
13,Glucodine,1 kapsułka co 8 godzin,Pomocny przy leczeniu astmy.
14,Theracillin,1 zastrzyk co 12 godzin,Stosowany w leczeniu cukrzycy typu 2.
15,Therastatin,2 tabletki dziennie po posiłku,Stosowany w leczeniu cukrzycy typu 2.
16,Antivir,1 zastrzyk co 12 godzin,Obniża poziom cholesterolu.
17,Medimox,1 tabletka rano i wieczorem,Pomocny przy leczeniu astmy.
18,Medipan,1 kapsułka co 8 godzin,Stosowany w leczeniu infekcji bakteryjnych.
19,Theradine,1 zastrzyk co 12 godzin,Lek przeciwbólowy i przeciwzapalny.
20,Glucovir,Stosować miejscowo 2 razy dziennie,Obniża poziom cholesterolu.
21,Cardionol,1 tabletka rano i wieczorem,Lek przeciwbólowy i przeciwzapalny.
22,Medivir,1 zastrzyk co 12 godzin,Pomocny przy leczeniu astmy.
23,Therazine,1 kapsułka co 8 godzin,Stosowany w leczeniu cukrzycy typu 2.
24,Fluvir,2 tabletki dziennie po posiłku,Stosowany w leczeniu cukrzycy typu 2.
25,Vitazine,5 ml syropu 3 razy dziennie,Preparat stosowany przy przeziębieniu.
26,Glucozol,Stosować miejscowo 2 razy dziennie,Wzmacnia odporność i poprawia samopoczucie.
27,Fluzine,1 dawka wziewna co 6 godzin,Stosowany w leczeniu infekcji bakteryjnych.
28,Theranol,1 kapsułka co 8 godzin,Zalecany przy alergiach sezonowych.
29,Neonol,Stosować miejscowo 2 razy dziennie,Lek stosowany w terapii nadciśnienia.
30,Vitapan,2 tabletki dziennie po posiłku,Stosowany w leczeniu cukrzycy typu 2.
31,Therapan,1 zastrzyk co 12 godzin,Stosowany w leczeniu infekcji bakteryjnych.
32,Glucocillin,1 tabletka raz dziennie,Stosowany w leczeniu infekcji bakteryjnych.
33,Fluzol,2 tabletki dziennie po posiłku,Preparat stosowany przy przeziębieniu.
34,Glucomox,1 zastrzyk co 12 godzin,Stosowany w leczeniu cukrzycy typu 2.
35,Vitanol,1 tabletka raz dziennie,Stosowany w leczeniu cukrzycy typu 2.
36,Flucillin,1 kapsułka co 8 godzin,Lek przeciwbólowy i przeciwzapalny.
37,Flupan,1 tabletka raz dziennie,Obniża poziom cholesterolu.
38,Neocillin,1 zastrzyk co 12 godzin,Wzmacnia odporność i poprawia samopoczucie.
39,Glucofen,1 tabletka rano i wieczorem,Obniża poziom cholesterolu.
40,Vitavir,1 tabletka raz dziennie,Zalecany przy alergiach sezonowych.
41,Antidine,1 dawka wziewna co 6 godzin,Stosowany w leczeniu cukrzycy typu 2.
42,Medidine,Stosować miejscowo 2 razy dziennie,Obniża poziom cholesterolu.
43,Biofen,2 tabletki dziennie po posiłku,Zalecany przy alergiach sezonowych.
44,Antimox,5 ml syropu 3 razy dziennie,Lek przeciwbólowy i przeciwzapalny.
45,Flumox,Stosować miejscowo 2 razy dziennie,Stosowany w leczeniu cukrzycy typu 2.
46,Vitacillin,2 tabletki dziennie po posiłku,Preparat stosowany przy przeziębieniu.
47,Flunol,1 tabletka rano i wieczorem,Preparat o działaniu uspokajającym.
48,Glucopan,1 zastrzyk co 12 godzin,Obniża poziom cholesterolu.
49,Vitamox,1 tabletka raz dziennie,Stosowany w leczeniu infekcji bakteryjnych.
50,Neodine,1 tabletka rano i wieczorem,Zalecany przy alergiach sezonowych.
51,Vitadine,1 tabletka rano i wieczorem,Stosowany w leczeniu infekcji bakteryjnych.
52,Gluconol,1 dawka wziewna co 6 godzin,Pomocny przy leczeniu astmy.
53,Cardiostatin,5 ml syropu 3 razy dziennie,Wzmacnia odporność i poprawia samopoczucie.
54,Cortzine,1 tabletka raz dziennie,Obniża poziom cholesterolu.
55,Cardiozine,5 ml syropu 3 razy dziennie,Pomocny przy leczeniu astmy.
56,Cardiozol,Stosować miejscowo 2 razy dziennie,Stosowany w leczeniu infekcji bakteryjnych.
57,Antipan,1 tabletka rano i wieczorem,Stosowany w leczeniu cukrzycy typu 2.
58,Cardiocillin,2 tabletki dziennie po posiłku,Stosowany w leczeniu cukrzycy typu 2.
59,Vitazol,5 ml syropu 3 razy dziennie,Wzmacnia odporność i poprawia samopoczucie.
60,Biocillin,1 tabletka raz dziennie,Lek stosowany w terapii nadciśnienia.
61,Anticillin,1 tabletka raz dziennie,Preparat stosowany przy przeziębieniu.
62,Neofen,5 ml syropu 3 razy dziennie,Stosowany w leczeniu cukrzycy typu 2.
63,Biozol,Stosować miejscowo 2 razy dziennie,Stosowany w leczeniu infekcji bakteryjnych.
64,Medinol,1 zastrzyk co 12 godzin,Stosowany w leczeniu cukrzycy typu 2.
65,Neozine,1 dawka wziewna co 6 godzin,Lek przeciwbólowy i przeciwzapalny.
66,Neopan,1 tabletka raz dziennie,Preparat o działaniu uspokajającym.
67,Cardiomox,1 tabletka raz dziennie,Preparat o działaniu uspokajającym.
68,Biovir,1 tabletka raz dziennie,Obniża poziom cholesterolu.
69,Cardiodine,2 tabletki dziennie po posiłku,Lek stosowany w terapii nadciśnienia.
70,Medistatin,1 dawka wziewna co 6 godzin,Zalecany przy alergiach sezonowych.
71,Biopan,1 kapsułka co 8 godzin,Preparat stosowany przy przeziębieniu.
72,Cortfen,5 ml syropu 3 razy dziennie,Stosowany w leczeniu infekcji bakteryjnych.
73,Cardiovir,1 tabletka raz dziennie,Wzmacnia odporność i poprawia samopoczucie.
74,Biostatin,1 dawka wziewna co 6 godzin,Lek przeciwbólowy i przeciwzapalny.
75,Medifen,1 dawka wziewna co 6 godzin,Preparat stosowany przy przeziębieniu.
76,Cardiopan,1 tabletka raz dziennie,Lek stosowany w terapii nadciśnienia.
77,Glucostatin,1 kapsułka co 8 godzin,Lek przeciwbólowy i przeciwzapalny.
78,Theramox,1 kapsułka co 8 godzin,Lek przeciwbólowy i przeciwzapalny.
79,Cortstatin,1 zastrzyk co 12 godzin,Stosowany w leczeniu infekcji bakteryjnych.
80,Neozol,1 dawka wziewna co 6 godzin,Preparat stosowany przy przeziębieniu.
81,Neomox,1 kapsułka co 8 godzin,Preparat stosowany przy przeziębieniu.
82,Cortvir,2 tabletki dziennie po posiłku,Stosowany w leczeniu infekcji bakteryjnych.
83,Cortpan,2 tabletki dziennie po posiłku,Stosowany w leczeniu cukrzycy typu 2.
84,Antizine,5 ml syropu 3 razy dziennie,Stosowany w leczeniu infekcji bakteryjnych.
85,Cortnol,5 ml syropu 3 razy dziennie,Obniża poziom cholesterolu.
86,Neostatin,1 tabletka rano i wieczorem,Obniża poziom cholesterolu.
87,Cortmox,1 tabletka rano i wieczorem,Stosowany w leczeniu infekcji bakteryjnych.
88,Biozine,1 kapsułka co 8 godzin,Preparat o działaniu uspokajającym.
89,Glucozine,5 ml syropu 3 razy dziennie,Lek przeciwbólowy i przeciwzapalny.
90,Neovir,1 kapsułka co 8 godzin,Preparat o działaniu uspokajającym.
91,Theravir,2 tabletki dziennie po posiłku,Stosowany w leczeniu infekcji bakteryjnych.
92,Antinol,1 zastrzyk co 12 godzin,Wzmacnia odporność i poprawia samopoczucie.
93,Biodine,Stosować miejscowo 2 razy dziennie,Wzmacnia odporność i poprawia samopoczucie.
94,Vitastatin,1 tabletka rano i wieczorem,Zalecany przy alergiach sezonowych.
95,Cortzol,1 kapsułka co 8 godzin,Stosowany w leczeniu cukrzycy typu 2.
96,Fludine,5 ml syropu 3 razy dziennie,Preparat stosowany przy przeziębieniu.
97,Antistatin,1 tabletka raz dziennie,Wzmacnia odporność i poprawia samopoczucie.
98,Flustatin,2 tabletki dziennie po posiłku,Preparat stosowany przy przeziębieniu.
99,Bionol,Stosować miejscowo 2 razy dziennie,Wzmacnia odporność i poprawia samopoczucie.
100,Therafen,1 tabletka raz dziennie,Stosowany w leczeniu cukrzycy typu 2.
